,,,,,,,Daily Price Arrival Report-07-11-2025 to 11-09-2026 for Maharashtra,,,,,,
State/UT,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,500.00,"1,500.00","1,000.00",Rs./Quintal,40.20,Metric Tonnes,29-07-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,500.00,"1,500.00","1,000.00",Rs./Quintal,11.50,Metric Tonnes,28-07-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,800.00,"1,600.00","1,200.00",Rs./Quintal,33.60,Metric Tonnes,27-07-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"1,000.00","1,600.00","1,300.00",Rs./Quintal,23.60,Metric Tonnes,26-07-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,800.00,"1,600.00","1,000.00",Rs./Quintal,25.00,Metric Tonnes,25-07-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"1,000.00","1,700.00","1,300.00",Rs./Quintal,17.90,Metric Tonnes,23-07-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,800.00,"1,600.00","1,200.00",Rs./Quintal,31.40,Metric Tonnes,22-07-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,800.00,"1,800.00","1,300.00",Rs./Quintal,13.90,Metric Tonnes,21-07-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"1,000.00","1,800.00","1,400.00",Rs./Quintal,21.60,Metric Tonnes,20-07-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"1,000.00","1,600.00","1,300.00",Rs./Quintal,22.50,Metric Tonnes,19-07-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,800.00,"1,600.00","1,200.00",Rs./Quintal,29.70,Metric Tonnes,18-07-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"1,000.00","1,600.00","1,300.00",Rs./Quintal,29.30,Metric Tonnes,16-07-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,500.00,"1,500.00","1,000.00",Rs./Quintal,41.60,Metric Tonnes,15-07-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"1,000.00","3,000.00","2,000.00",Rs./Quintal,25.80,Metric Tonnes,14-07-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"1,000.00","1,800.00","1,400.00",Rs./Quintal,25.70,Metric Tonnes,13-07-2026
