,,,,All Type of Report (All Grades) for 09-Jan-2021 to 09-Sep-2026,,,,
Maharashtra,Sangli,Vegetables,Onion,31-03-2021,330.00,Metric Tonnes,1050.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,01-04-2021,253.00,Metric Tonnes,900.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,03-04-2021,669.00,Metric Tonnes,950.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,05-04-2021,388.00,Metric Tonnes,1000.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,06-04-2021,344.00,Metric Tonnes,900.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,07-04-2021,390.00,Metric Tonnes,850.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,08-04-2021,365.00,Metric Tonnes,850.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,09-04-2021,518.00,Metric Tonnes,850.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,10-04-2021,3.00,Metric Tonnes,800.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,12-04-2021,339.00,Metric Tonnes,999.12,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,15-04-2021,653.00,Metric Tonnes,900.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,16-04-2021,338.00,Metric Tonnes,850.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,17-04-2021,196.00,Metric Tonnes,750.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,19-04-2021,297.00,Metric Tonnes,750.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,21-04-2021,132.00,Metric Tonnes,750.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,22-04-2021,126.00,Metric Tonnes,800.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,23-04-2021,61.00,Metric Tonnes,850.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,24-04-2021,181.00,Metric Tonnes,750.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,26-04-2021,143.00,Metric Tonnes,850.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,27-04-2021,198.00,Metric Tonnes,850.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,28-04-2021,122.00,Metric Tonnes,900.00,Rs./Quintal
