,,,,All Type of Report (All Grades) for 01-Jan-2021 to 09-Sep-2026,,,,
Maharashtra,Kolhapur,Vegetables,Tomato,02-03-2021,24.00,Metric Tonnes,650.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,03-03-2021,75.00,Metric Tonnes,576.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,04-03-2021,37.00,Metric Tonnes,595.95,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,05-03-2021,9.00,Metric Tonnes,450.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,06-03-2021,72.00,Metric Tonnes,600.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,07-03-2021,40.00,Metric Tonnes,550.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,08-03-2021,52.00,Metric Tonnes,626.92,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,09-03-2021,45.00,Metric Tonnes,618.89,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,10-03-2021,52.00,Metric Tonnes,548.08,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,11-03-2021,51.00,Metric Tonnes,500.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,12-03-2021,10.00,Metric Tonnes,400.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,13-03-2021,54.00,Metric Tonnes,600.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,14-03-2021,29.00,Metric Tonnes,650.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,15-03-2021,40.00,Metric Tonnes,700.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,16-03-2021,27.00,Metric Tonnes,750.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,19-03-2021,6.00,Metric Tonnes,450.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,20-03-2021,9.00,Metric Tonnes,450.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,21-03-2021,29.00,Metric Tonnes,850.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,22-03-2021,46.00,Metric Tonnes,750.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,23-03-2021,30.00,Metric Tonnes,603.33,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,24-03-2021,48.00,Metric Tonnes,650.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,25-03-2021,47.00,Metric Tonnes,624.47,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,26-03-2021,9.00,Metric Tonnes,450.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,27-03-2021,47.00,Metric Tonnes,700.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,28-03-2021,32.00,Metric Tonnes,500.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,29-03-2021,47.00,Metric Tonnes,618.09,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,31-03-2021,42.00,Metric Tonnes,596.43,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,01-04-2021,53.00,Metric Tonnes,566.04,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,02-04-2021,9.00,Metric Tonnes,650.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,03-04-2021,58.00,Metric Tonnes,606.03,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,04-04-2021,17.00,Metric Tonnes,700.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,05-04-2021,39.00,Metric Tonnes,619.23,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,06-04-2021,41.00,Metric Tonnes,720.73,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,07-04-2021,6.00,Metric Tonnes,450.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,08-04-2021,59.00,Metric Tonnes,574.58,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,09-04-2021,9.00,Metric Tonnes,450.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,10-04-2021,18.00,Metric Tonnes,350.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,11-04-2021,1.00,Metric Tonnes,250.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,12-04-2021,61.00,Metric Tonnes,750.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,13-04-2021,46.00,Metric Tonnes,550.00,Rs./Quintal
