,,,,All Type of Report (All Grades) for 01-Jan-2021 to 09-Sep-2026,,,,
Maharashtra,Kolhapur,Vegetables,Onion,16-03-2021,437.00,Metric Tonnes,1400.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,22-03-2021,378.00,Metric Tonnes,1200.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,23-03-2021,267.00,Metric Tonnes,1350.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,24-03-2021,422.00,Metric Tonnes,1200.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,25-03-2021,204.00,Metric Tonnes,1300.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,26-03-2021,423.00,Metric Tonnes,1300.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,27-03-2021,788.00,Metric Tonnes,1200.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,30-03-2021,641.00,Metric Tonnes,1200.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,31-03-2021,469.00,Metric Tonnes,1150.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,01-04-2021,440.00,Metric Tonnes,1100.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,03-04-2021,701.00,Metric Tonnes,1200.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,05-04-2021,544.00,Metric Tonnes,1000.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,07-04-2021,737.00,Metric Tonnes,1100.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,08-04-2021,528.00,Metric Tonnes,1100.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,09-04-2021,701.00,Metric Tonnes,1000.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,10-04-2021,25.00,Metric Tonnes,1000.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,12-04-2021,928.00,Metric Tonnes,1100.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,13-04-2021,358.00,Metric Tonnes,1000.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,14-04-2021,313.00,Metric Tonnes,1300.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,15-04-2021,503.00,Metric Tonnes,1200.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,16-04-2021,466.00,Metric Tonnes,1100.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,17-04-2021,495.00,Metric Tonnes,1000.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,19-04-2021,728.00,Metric Tonnes,1100.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,20-04-2021,516.00,Metric Tonnes,900.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,21-04-2021,590.00,Metric Tonnes,1000.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,22-04-2021,643.00,Metric Tonnes,800.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,23-04-2021,384.00,Metric Tonnes,900.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,24-04-2021,268.00,Metric Tonnes,1000.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,26-04-2021,581.00,Metric Tonnes,1000.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,27-04-2021,423.00,Metric Tonnes,1100.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,28-04-2021,610.00,Metric Tonnes,1000.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,29-04-2021,485.00,Metric Tonnes,1000.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,30-04-2021,647.00,Metric Tonnes,1000.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,03-05-2021,789.00,Metric Tonnes,900.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,04-05-2021,433.00,Metric Tonnes,1000.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,05-05-2021,686.00,Metric Tonnes,1000.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,06-05-2021,392.00,Metric Tonnes,1000.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,07-05-2021,539.00,Metric Tonnes,900.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,08-05-2021,528.00,Metric Tonnes,1000.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,10-05-2021,696.00,Metric Tonnes,1000.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,11-05-2021,455.00,Metric Tonnes,1000.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,12-05-2021,444.00,Metric Tonnes,1200.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,13-05-2021,548.00,Metric Tonnes,1000.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,15-05-2021,677.00,Metric Tonnes,1100.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,24-05-2021,597.00,Metric Tonnes,1300.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,25-05-2021,292.00,Metric Tonnes,1200.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,26-05-2021,586.00,Metric Tonnes,1300.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,27-05-2021,457.00,Metric Tonnes,1300.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,28-05-2021,484.00,Metric Tonnes,1200.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,29-05-2021,601.00,Metric Tonnes,1300.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,31-05-2021,588.00,Metric Tonnes,1300.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,01-06-2021,369.00,Metric Tonnes,1200.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,02-06-2021,378.00,Metric Tonnes,1400.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,03-06-2021,356.00,Metric Tonnes,1400.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,04-06-2021,525.00,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,05-06-2021,478.00,Metric Tonnes,1400.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,07-06-2021,640.00,Metric Tonnes,1400.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,08-06-2021,281.00,Metric Tonnes,1300.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,09-06-2021,432.00,Metric Tonnes,1400.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,10-06-2021,294.00,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,11-06-2021,388.00,Metric Tonnes,1300.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,12-06-2021,295.00,Metric Tonnes,1398.64,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,14-06-2021,499.00,Metric Tonnes,1394.46,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,15-06-2021,250.00,Metric Tonnes,1406.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,16-06-2021,260.00,Metric Tonnes,1403.46,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,17-06-2021,315.00,Metric Tonnes,1400.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,18-06-2021,240.00,Metric Tonnes,1400.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,19-06-2021,370.00,Metric Tonnes,1501.62,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,21-06-2021,418.00,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,22-06-2021,259.00,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,23-06-2021,469.00,Metric Tonnes,1600.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,24-06-2021,339.00,Metric Tonnes,1600.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,25-06-2021,457.00,Metric Tonnes,1600.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,26-06-2021,370.00,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,28-06-2021,425.00,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,29-06-2021,212.00,Metric Tonnes,1608.49,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,30-06-2021,343.00,Metric Tonnes,1600.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,01-07-2021,295.00,Metric Tonnes,1600.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,02-07-2021,262.00,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,03-07-2021,424.00,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,05-07-2021,322.00,Metric Tonnes,1600.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,06-07-2021,272.00,Metric Tonnes,1700.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,07-07-2021,364.00,Metric Tonnes,1600.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,08-07-2021,227.00,Metric Tonnes,1600.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,09-07-2021,350.00,Metric Tonnes,1700.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,10-07-2021,530.00,Metric Tonnes,1600.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,12-07-2021,503.00,Metric Tonnes,1600.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,13-07-2021,360.00,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,14-07-2021,285.00,Metric Tonnes,1503.51,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,15-07-2021,167.00,Metric Tonnes,1403.59,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,16-07-2021,230.00,Metric Tonnes,1600.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,17-07-2021,307.00,Metric Tonnes,1600.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,19-07-2021,205.00,Metric Tonnes,1600.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,20-07-2021,287.00,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,22-07-2021,352.00,Metric Tonnes,1600.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,26-07-2021,18.00,Metric Tonnes,1600.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,27-07-2021,208.00,Metric Tonnes,1600.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,28-07-2021,325.00,Metric Tonnes,1700.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,29-07-2021,319.00,Metric Tonnes,1600.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,30-07-2021,325.00,Metric Tonnes,1700.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,31-07-2021,556.00,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,02-08-2021,541.00,Metric Tonnes,1700.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,03-08-2021,416.00,Metric Tonnes,1600.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,04-08-2021,351.00,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,06-08-2021,337.00,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,07-08-2021,352.00,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,09-08-2021,334.00,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,10-08-2021,261.00,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,11-08-2021,331.00,Metric Tonnes,1506.04,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,12-08-2021,179.00,Metric Tonnes,1505.59,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,13-08-2021,290.00,Metric Tonnes,1484.66,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,14-08-2021,432.00,Metric Tonnes,1502.08,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,17-08-2021,535.00,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,18-08-2021,145.00,Metric Tonnes,1503.45,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,19-08-2021,46.00,Metric Tonnes,1578.26,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,23-08-2021,283.00,Metric Tonnes,1600.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,24-08-2021,284.00,Metric Tonnes,1600.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,25-08-2021,349.00,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,26-08-2021,386.00,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,27-08-2021,437.00,Metric Tonnes,1550.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,28-08-2021,587.00,Metric Tonnes,1400.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,30-08-2021,579.00,Metric Tonnes,1396.89,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,31-08-2021,278.00,Metric Tonnes,1400.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,01-09-2021,130.00,Metric Tonnes,1400.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,02-09-2021,277.00,Metric Tonnes,1400.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,03-09-2021,278.00,Metric Tonnes,1375.07,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,04-09-2021,513.00,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,06-09-2021,347.00,Metric Tonnes,1600.86,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,07-09-2021,316.00,Metric Tonnes,1500.95,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,08-09-2021,339.00,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,09-09-2021,408.00,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,11-09-2021,779.00,Metric Tonnes,1400.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,13-09-2021,299.00,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,15-09-2021,420.00,Metric Tonnes,1400.00,Rs./Quintal
